term,gloss,forms,occurrences
"broom","kind of broom (Genista acanthoclada)",52,412
"otryne","Otryne, Attica, Greece",28,411
"custody","custody (of land or a person)",35,411
"magistrate","A suffete; one of the chief magistrates in ancient Carthage.",93,411
"einkorn wheat","einkorn wheat",72,411
"olive grove","a place planted with olive trees; an olive yard",72,410
"cone-bearing","bearing conical fruit",27,410
"bejaia","Bejaia (a port city in Algeria)",52,410
"inflorescence","inflorescence of the grapevine",6,409
"sordid","clothed in dirty or black clothes",16,409
"trinity","threeness; the state of being three",32,408
"stagnating","stagnating",25,408
"long-handed","long-handed",3,408
"omen bird","any bird by whose song or cries (rather than flight) augurs divined omens",32,408
"paphian","Paphian (of, from or relating to Paphos)",30,408
"problematic","problematic",5,408
"pumice","a pumice stone",165,408
"bristly","setiferous, bristly",9,407
"recently","a short time ago, a little while ago, not long since",76,407
"submerged","sunken, drowned, overwhelmed",8,407
"rhodes","Rhodes, Dodecanese, Greece",28,407
"silken","entirely silken, made of pure silk",10,406
"quadrangular","quadrangular",4,406
"egyptian plover","Egyptian plover (Pluvianus aegyptius)",19,406
"ling","A kind of stockfish",30,406
"abridged","cut short, abridged",28,406
"successive","alternate (one after the other), successive",74,406
"narrow-necked","having a narrow neck or stem",2,405
"eight-footed","eight-footed",23,405
"wild basil","wild basil (Acinos rotundifolius)",70,405
"hurdle","hurdle (type of fence)",40,405
"husk","rind, shell, husk, chaff",45,405
"gromwell","stoneseed, gromwell (Lithospermum officinale)",1,404
"cuttlefish bone","cuttlefish bone",7,404
"torque","a twisted band or cord",20,404
"parch","to dry up, parch",122,404
"rose campion","rose campion (Silene coronaria, syn. Lychnis coronaria)",14,403
"large snake","A large snake native to Roman Italy.",87,403
"equal","Equal, equally.",101,403
"bellerophon","Bellerophon",7,402
"angrily","angrily",52,402
"lacunose","Full of holes, cavities, gaps, etc.; lacunose.",12,402
"carian fig","a type of fig (from Caria)",21,402
"edward","a male given name from English, equivalent to English Edward",61,402
"provincial","provincial (of a province)",11,401
"blackberry","blackberry (Rubus ulmifolius)",34,401
"standing together","standing together",49,401
"haughty","conceited, haughty, arrogant",30,401
"sardinian","Sardinian",59,401
"milk bread","fancy bread made with milk",10,400
"multicolored","Of many colors, many-colored, multicolored, multicolor.",13,400
"maiden","young, unmarried woman; maiden",44,400
"tripe","The tripe of a bull.",81,400
"bleat","to bleat, baa",102,400
"bracelet","bracelet, armlet",38,399
"fur-clad","clad in skins or furs",41,399
"noose","hanging rope, noose",32,399
"poppyhead","poppyhead, head of plants",69,399
"pomegranate-peel","pomegranate-peel",65,399
"lye","lixa (lye; water).",91,399
"supreme","highest in the hierarchy",16,398
"djemaa saharidj","Djemaa Saharidj (an ancient city in Algeria)",75,398
"washbasin","washbasin",13,398
"chestnut","a chestnut tree",79,398
"uneven","unequal, uneven",43,398
"iowa","Iowa",129,398
"mucius","a cognomen of the gens Mucia and others",14,397
"meriones","Meriones (hero of the Trojan War)",22,397
"chicken","chicken",49,397
"ruthless","pitiless, ruthless",11,397
"cubs","cubs of wild animals",65,397
"david","David",102,397
"horned viper","horned viper (of genus Cerastes)",21,397
"necho","Necho",140,397
"barrel-shaped comet","A barrel-shaped comet",28,396
"pythian","Pythian",32,396
"malta","Malta (an island in the Mediterranean Sea, Malta)",48,396
"stairmaker","A maker of staircases.",57,396
"hero","demigod, hero",17,395
"neckar","The river Neckar",53,395
"acamas","Acamas, one of several figures in Greek mythology",81,395
"myriad","a myriad",88,395
"promontory","a promontory in Cyrenaica, the most northerly point of Libya",129,395
"steam bath","vapour bath, made by throwing scented substances on hot embers confined under a cloth",146,395
"hieroglyphic","hieroglyphic",6,394
"well-known","well-known",21,394
"vinedresser","vinedresser",39,394
"stabiae","a town in Campania near Herculaneum",54,394
"iridium","iridium",54,394
"beroe","Beroe, one of the Oceanids",89,394
"cottius","A king of several Ligurian tribes",116,394
"otus","Otus",109,393
"nymph","A nymph, playmate of Proserpina",97,393
"pepperwort","pepperwort (Lepidium graminifolium)",3,392
"two-faced","having two foreheads, having two faces",14,392
"fibular","fibular, peroneal",16,392
"martin","Martin (attributive); used in taxonomic names for organisms having English names of the form ""Martin's ...""",49,392
"englishman","an Englishman",12,392
"recurved","bent backward, so as to be convex in front",41,392
"to adorn","to adorn",46,392
"atheist","an atheist; one who rejected the gods worshipped by the wider society.",53,392
"epirus","Epirus (a historical region and ancient kingdom in Southeast Europe, today split politically between northwestern Greece and southwestern Albania)",53,392
"two-way","two-way",89,392
"nourishment","feasting, nourishment",16,391
"samoan","Samoan",6,391
"aquila","Aquila",56,391
"water parsnip","water parsnip (Sium suave)",54,391
"pericles","A celebrated Athenian general and statesman",73,391
"mama","the word with which infants call for food",109,391
"woodworm","woodworm, boring-worm, wood-fretter",17,390
"herpes","herpes",68,390
"girth","girth of a bedstead",153,390
"chamomile","name of several plants of the genus Anthemis",2,389
"rudder","rudder, tiller, helm",6,389
"long-tailed monkey","long-tailed monkey",99,389
"lefkada","an island of Greece; modern Lefkada",9,388
"bean trefoil","bean trefoil (Anagyris foetida)",8,388
"geometrical","geometrical",39,388
"pediatric","Relating to children.",33,388
"carthaginian","Punic, Carthaginian",69,388
"simois","the river Simois",56,388
"epetium","a town in Dalmatia situated east of Tragurium",94,388
"robe","A wide upper garment worn by Arabians and Thracians",110,388
"gnat","A kind of gnat",7,387
"drypetis","a female given name, Drypetis, from Old Persian, a Persian princess and wife of Hephaestion",14,387
"cloud-producing","that produces clouds",7,387
"four-part","in four parts",10,387
"hemlock","a plant, poison hemlock, probably either Conium maculatum or Cicuta virosa",24,387
"amycus","Amycus, son of Neptune and king of the Bebrycians",51,387
"varia","A town of the Sabines situated in the valley of the Anio, now Vicovaro",82,387
"cyclops","A cyclops; a one-eyed giant from Greek and Roman mythology.",58,387
"bachelor","bachelor",131,387
"splinter","chip or splinter (of wood)",12,386
"irritation","irritation",15,386
"surety","surety, bondsman",101,386
"firefly","a winged insect that was supposed to live in fire",13,385
"reservoir","a tank, cistern, or reservoir",14,385
"asphodel","asphodel",16,385
"orca","orc, orca (kind of whale)",21,385
"freckled","full of freckles, freckled",10,385
"lyre","cithara, cittern, zither, lyre, lute, guitar",26,385
"thorae","Thorae, Attica, Greece",81,385
"sea snail","sea snail",30,385
"chosen","chosen; picked; having been selected",94,385
"may shake","third-person singular present active optative of σείω (seíō)",68,385
"groma","groma",51,384
"potherb","a small potherb",5,383
"aquatic","living or growing in water, aquatic",6,383
"leucothoe","Leucothoe, daughter of Orchamus and Eurynome",4,383
"transverse","transverse",8,383
"incomplete","unfinished, incomplete",13,383
"angularize","to make angular or cornered",89,383
"sow","to sow, plant",72,383
"caryae","A town of Laconia famous for its temple of Artemis",69,382
"lunula","an ornament in the form of a little moon",86,382
"teos","Teos, Ionia; now Sığacık, in Turkey",82,381
"hawk","A kind of hawk",69,381
"portico","covered portico or gallery (or one planted with trees)",76,381
"anian","Anian, of or pertaining to Aninus",141,381
"proteus","Proteus",2,380
"baneberry","baneberry",22,380
"field maple","field maple (Acer campestre)",30,380
"encloser","A person who encloses",77,380
"heifer","heifer (a cow that has not calved)",34,380
"firewood","dry stick, firewood",54,380
"qoph","qoph",90,380
"haughtily","haughtily, pompously",102,380
"palaemon","Palaemon, a sea god who was the son of Athamus and Ino",3,379
"madder","madder",7,379
"cithara-playing","playing (the cithara)",22,379
"armored","wearing a lōrīca, harnessed, clad in mail",10,379
"seminude","half-naked, seminude",4,379
"moderate","moderate",8,379
"frederick","a male given name from the Germanic languages, equivalent to English Frederick",27,378
"having returned","having returned",32,378
"judas","Judas",75,378
"evenus","Evenus, the name of more than one figure in Greek mythology and history",59,378
"within days","within a certain number of days",48,378
"zeus","Boeotian and Laconian form of Ζεύς (Zeús)",83,378
"male name","a male given name, character in the play Mostellaria of Plautus",74,378
"sword-bearing","with a sword, wearing a sword, sword-bearing (especially as an epithet of Orion)",14,377
"fraternal","of brothers or sisters",12,377
"pact","an agreement, bargain, pact",77,377
"aléria","Aléria (a city in Corsica)",21,376
"dominican","Dominican",5,376
"marble","of, pertaining to, made or consisting of marble",5,376
"water-snake","A water-snake",24,376
"dirge","a funeral song, dirge",43,376
"workshop","storehouse, shop, workshop",137,376
"millet","millet (Panicum miliaceum)",15,375
"delhi","Delhi (a megacity and union territory of India, containing the national capital New Delhi)",47,375
"strawberry tree","strawberry tree (Arbutus unedo)",48,375
"fiery","of or pertaining to fire, fiery",38,375
"sorb","sorb, fruit of the service tree",65,375
"thurian","Thurian",101,375
"hand-to-hand","in close combat, in close contest, hand-to-hand",24,374
"marigold","marigold",26,374
"ionia","Ionia (a region of Asia Minor, in modern Turkey)",74,374
"turtle dove","turtle dove",65,374
"merchandise","merchandise, commodity",89,374
"cognomen","a cognomen used by the gens Licinia, Marcia, and others",79,374
"hermit","hermit, eremite",18,373
"rue","rue (bitter herb)",48,373
"probe","to probe, look into, search",36,373
"idyrus","Idyrus, Lycia, Turkey",48,373
"nelia","Nelia, Magnesia, Greece",82,373
"setting","the setting of the Sun or other stars",31,372
"mead","mead",28,372
"salmoneus","A legendary king of Elis and brother of Sisyphus",37,372
"darling","darling",58,372
"venta","the name of several towns of Britannia, modern England",96,372
"malformed","Departing physically from the correct shape; deformed, ugly, misshapen, malformed.",9,371
"libation","pouring, drink-offering, libation",42,371
"polar","Of or pertaining to the poles (northern and southern).",2,370
"martha","Martha",35,370
"darius","a male given name from Old Persian, equivalent to English Darius",71,370
"capua","Capua, an Etruscan city",56,370
"bounty","a gift, a present, and especially bounty",40,369
"fiery","fiery, hot, on fire, burning",32,369
"platysma muscle","platysma muscle",4,368
"moderate","middling, moderate, medium",14,368
"noctua","Former constellation between Antlia and Hydra.",17,368
"chlorite","The chlorite",13,368
"nicaragua","Nicaragua (a country in Central America)",14,368
"bacchus","Bacchus",15,368
"achaea","Achaea, a region on the north coast of the Peloponnese in Greece.",55,368
"agde","a city in Gallia Narbonensis, now Agde",34,368
"inhabitant","inhabitant, resident",126,368
"marcus","Marcus, Mark",131,368
"gyrton","A town of Thessaly situated on the coast near Mount Ossa",5,367
"corsica","Corsica (an island and administrative region of France, in the Mediterranean to the north of Sardinia)",11,367
"sweet smell","sweet smell",11,367
"companion","companion, mate, fellow, intimate, comrade, crony",25,367
"taurus","The name of a part of the range of Mount Taurus",37,367
"idas","Idas",84,367
"perennate","to pass or live through a year",90,367
"hernia","Protruded viscus, rupture.",19,366
"festive","Of or pertaining to holidays; festive, festal, joyful, merry.",33,366
"mackerel","mackerel",36,366
"sahara","Sahara (a major desert in North Africa)",38,366
"shook","third-person singular aorist active indicative of σείω (seíō)",77,366
"oxhide","made of ox's hide",114,366
"albanian","Albanian",6,365
"namibia","Namibia (a country in Southern Africa)",26,365
"waterfall","waterfall",27,365
"sorrel","A kind of sorrel",32,365
"cloak","a thick, often richly decorated woolen cloak worn over a toga or pallium, usually fastened by a pin",33,365
"same year","in the same year",68,365
"brook","Of or pertaining to a brook.",8,363
"maple","A kind of maple tree",65,363
"troy","Troy, an ancient city located in present-day Hisarlik, Turkey.",105,363
"torch","torch; firebrand",21,362
"balsam tree","A kind of balsam tree",26,362
"naiad","a water nymph",45,362
"mora","mora (a division of the Spartan army, varying in strength, at first six in number)",43,362
"plundering","the act of laying waste or plundering",30,362
"clover","kind of herb which serves for fodder, perhaps a sort of clover",45,362
"nessus","Nessus (centaur killed by Heracles, whose tainted blood in turn killed Heracles)",36,362
"cretan","Cretan",110,362
"ostia","Ostia",87,362
"wrestler","wrestler, athlete",8,361
"iridescent","with wings of changeful hue",11,361
"sought","sought out, searched for, hunted up, ascertained, having been sought out",8,361
"wife","wife; spouse",35,361
"cytoplasm","The contents of a cell.",34,361
"consul","Alternative letter-case form of cos, abbreviation of consul",66,361
"paltus","Paltus; Arab al-Mulk, Syria",29,361
"samphire","A variety of samphire",13,360
"antennae","antennae of the crayfish or of insect",52,360
"din","din, clash, racket",56,360
"almond tree","almond tree",17,359
"filth","dirt, filth, squalor",47,359
"pyrenees","the Pyrenees mountains",51,359
"imminent","about to go, proceed or happen",54,359
"meroe","Meroe, Nubia, Sudan",64,359
"man orchid","man orchid (Orchis anthropophora)",9,358
"moray eel","moray eel or lamprey, eaten as food.",30,358
"bombast","swelling words, bombast",29,358
"cinnabar","cinnabar",35,358
"malacca","Malacca",4,357
"vervain mallow","vervain mallow (Malva alcea)",14,357
"comma","a comma (a division, member, or section of a period smaller than a colon)",35,357
"mistress","concubine of a married man, mistress",38,357
"excessive","excessive, too great, too much",104,357
"bow-legged","bow-legged",13,356
"burial","grave; burial",55,356
"participle","derives adjective nouns from verbs, similar to present participles, but without the present time restriction",104,356
"helot","a helot",75,356
"entwined","bound together; interwoven; entwined",100,356
"cremna","Cremna, Pisidia, Turkey",51,355
"slap","slap, smack (with the flat of the hand)",53,354
"kindle","to kindle; to set on fire; to fasten fire to",56,354
"savage","savage, fierce, harsh, stern",62,354
"delta","alternative letter-case form of Delta of the ICAO/NATO radiotelephony alphabet.",140,354
"multiform","multiform",4,353
"peanut","peanut",10,353
"sarmatian","Sarmatian (feminine)",31,353
"bridechamber","bridechamber",2,352
"planar","of or pertaining to a plane; planar",18,352
"attractive","attractive; enticing; charming",18,352
"maiden","a maiden, maid; an unmarried young woman or girl (typically nubile, i.e., of marriageable age and social status)",21,352
"lyttus","A town of Crete destroyed by Cnossus",9,352
"bridle","bridle, harness, curb, bit",69,352
"coronilla","coronilla (Coronilla)",14,351
"saviour","saviour; deliverer; preserver (often as an epithet of protecting gods, especially Zeus)",24,351
"capped","capped",36,351
"disorder","disorder, disturbance",25,351
"haircloth","coarse cloth of hair, especially of goat's hair",45,351
"hyllus","Hyllus",71,351
"light work","light work",42,351
"amen","amen; so be it, let it be",68,351
"loosening","loosening",66,351
"nudium","Nudium, Elis, Greece",75,350
"aniene","The river Aniene, that flows in Latium.",67,350
"bibulus","Marcus Calpurnius Bibulus",26,350
"turk","Turkey; Turk.",19,350
"hydride","An anion formally derived by adding a hydride ion to a parent hydride.",48,350
"theron","Theron",27,350
"trickster","mischiefmaker, shuffler, trickster",66,350
"tuder","A city of the western part of Umbria",94,350
"appearance","appearance, image",39,349
"bdellium","bdellium",75,349
"banquet","a rich banquet; rich, savory dish",122,349
"eminent","eminent, distinguished, notable",20,348
"triple","triple, threefold",23,348
"rye","rye (Secale cereale) in Thrace and Macedonia",26,348
"close-pressed","close-pressed",23,348
"marium","Marium, Cyprus",20,348
"bald","bald",53,348
"carried","carried, conveyed",20,347
"myra","Myra, Lycia, Turkey",98,347
"accusative plural","i-stem accusative plural of -tās",135,347
"clear weather","bright, clear, fair weather",119,347
"david","nomen sacrum form of Δαυῑ̈́δ (Dauī̈́d)",127,347
"awning","awning",6,346
"unknown","unknown, obscure",12,346
"shepherd","shepherd",43,346
"uncultivated","uncultivated, unoccupied",69,346
"adour","a river in Aquitania, now the Adour",83,346
"twig","twig, young shoot",111,346
"pie","pie",95,346
"locust","locust",4,345
"uncompleted","uncompleted",9,345
"acilian","Acilian (of or pertaining to the Acilia gens)",30,345
"ross","Ross (attributive); used in taxonomic names for organisms having English names of the form ""Ross's ...""",39,345
"columnar","columnar",10,344
"arion","a male given name, equivalent to English Arion",31,344
"engraved","engraved",13,344
"gently","softly, gently",49,344
"tav","tav, taw (letter)",50,344
"pisiform","pisiform",37,344
"aram","Aram, an Israelite mentioned in the genealogy of Jesus.",86,344
"unsteady","unsteady, unstable, shaky",8,343
"cloaked","dressed in a pallium, cloaked",22,343
"caprine","of a goat",14,343
"puffball","giant puffball (Calvatia gigantea)",44,343
"third","third",51,343
"battus","Battus",60,343
"emona","a town in Pannonia situated on the road to Aquileia and Celeia, at the place of modern Ljubljana",93,343
"constantine","Cirta; Constantine, Algeria",63,343
"brainpan","the bone directly above the brain, bregma; brainpan",62,343
"mugwort","mugwort (or similar plant)",2,342
"hare","a hare",14,342
"discordant","discordant",18,342
"retrograde","reversing, retrograde",9,342
"olympic","Olympic (of or pertaining to Mount Olympus)",8,342
"phyleid","son of Phyleus (epithet of Meges)",11,342
"antelope","An antelope or gazelle.",44,342
"brooch","brooch, clasp for fastening dresses, especially on the shoulders",53,342
"pimp","pimp, procurer",87,342
"ocular","of or pertaining to the eyes, ocular",3,341
"wintry","of winter; wintry, hiemal",13,341
"cotton thistle","cotton thistle (Onopordum acanthium)",22,341
"film","film, movie, cinema (moving pictures).",55,341
"angrus","river Angrus; South Morava",70,341
"flaxen","of flax or linen; flaxen",40,340
"panther-like","Of or pertaining to a panther; panther-like.",6,340
"two-marked","Having two marks",8,340
"fenugreek","fenugreek",47,340
"albert","a male given name, equivalent to English Albert",95,340
"cheese-making","cheese-making",76,340
"forum","public place, marketplace, forum",112,340
"chaff","husks of corn, bran",29,339
"gnawer","gnawer, nibbler",63,339
"sciolist","sciolist, smatterer",4,338
"white-footed","white-footed",19,338
"cyllene","Cyllene, an oread nymph in Greek mythology",15,338
"spleenwort","Miltwaste, spleenwort.",12,338
"folding up","folding up",13,338
"perception","perception",19,338
"recently","lately, of late",15,338
"attendant","attendant, follower, guard, bodyguard",43,338
"hymen","Hymen, god of weddings and marriage",60,338
"gens","Name of a patrician Roman gens.",77,338
"open sea","open sea",74,338
"father-in-law","father-in-law",66,338
"danaus","Danaus",1,337
"stepped","stepped, furnished with steps",32,337
"musty","moldy, musty",29,337
"ionian","a woman of the Ionians; a woman native or inhabitant of Ionia",52,337
"greenish-yellow","greenish-yellow, pale green (color/colour)",47,337
"dark-gray garment","a dark-gray garment",112,337
"crustacean","a crustacean, possibly a marine crab or shrimp",75,337
"corn-measure","corn-measure corresponding to four ξέσται (xéstai)",163,337
"occipital","occipital",12,336
"banded-necked","having a banded or striped neck or stem",30,336
"dauria","the country of the Daur people, Dauria",13,336
"lambkin","little ram, little lamb",36,336
"she-ass","she-ass",58,336
"sausage-shaped","sausage-shaped",36,335
"cleft","a cleft, slit, fissure; the cleft of the liver",91,335
"hence","hence, from this place.",47,335
"comet","A kind of comet",30,334
"constantine","An inland city of Numidia, now Constantine",40,334
"leather garment","a kind of leather garment",53,334
"bubbling up","bubbling up",87,334
"myndus","Myndus, Caria, Turkey",9,333
"excessive","excessive, lavish, profuse, extravagant",16,333
"eating-house","common eating-house (especially one used by prostitutes etc), greasy spoon",30,333
"rectum","rectum",56,333
"fish trap","creel, trap for fish, fishing basket",62,333
"lightning goddess","The goddess who presided over lightning",3,332
"ptarmigan","ptarmigan (a bird)",10,332
"many-folded","having many folds",13,332
"tun","tun, box",34,332
"innate","innate, native, natural",4,332
"peel","to peel, bark, strip off the rind or husks",68,332
"toga","toga",135,332
"swift-footed","succouring with the feet, running to the rescue: swift-footed",10,331
"earthnut","earthnut, Bunium ferulaceum",15,331
"turanian","Turanic, Turanian",6,331
"stammering","faltering in speech, like a child",43,331
"merlin","A merlin",40,331
"whirlwind","whirlwind, tornado, vortex",29,330
"phrygia","Phrygia (a geographic region and ancient kingdom in the west central part of Asia Minor, in what is now modern-day Turkey)",28,330
"istros","Istros, Histria (an ancient city and Milesian colony in modern Constanța County, Romania; modern Istria)",32,330
"radiates","radially symmetric animals",43,330
"cabyle","Cabyle, Thrace, Bulgaria",48,330
"uranus","Uranus (god of the sky)",95,330
"having wept","aorist active participle of δᾰκρῡ́ω (dăkrū́ō)",7,329
"partition","wall (inside a building); partition",42,329
"nubian","Nubian",16,329
"knidos","Knidos (a Doric city in Caria, celebrated for its statue of Venus, the workmanship of Praxiteles)",46,329
"nicias","a male given name, Nicias",70,329
"cavern","cavern (from the phrase γρώνη πέτρα (grṓnē pétra, ""cavernous cave""))",63,329
"nabataean king","The name of various kings of the Nabataeans",78,329
"cheeklet","little cheek or mouth",11,328
"intangible","impalpable, intangible",13,328
"dovish","Of or pertaining to a dove or pigeon; dovish, dove-like",6,328
"intestinal worm","worm in the intestines",32,328
"maple","A kind of maple tree.",58,328
"clod","lump, clod of earth, turf",51,328
"globuliferous","globuliferous",3,327
"manna","manna",37,327
"hoe","rake, hoe, mattock",76,327
"gift","gift",73,326
"bladder cherry","bladder cherry, winter cherry (Alkekengi officinarum, syn. Physalis alkekengi)",72,326
"andros","Andros",40,325
"puran","A river of Gedrosia, now the Puran",59,325
"shoulder point","the point of the shoulder",39,325
"to lengthen","to lengthen",47,325
"violent","rushing, violent",10,324
"cauldron","kettle, cauldron, boiling vessel",32,324
"volute","The volute of an Ionic column",9,324
"aglaophon","a male given name, equivalent to English Aglaophon",9,324
"underworld","the underworld",26,324
"strangulation","strangulation",38,324
"grappling hook","grappling hook, grappling iron",48,324
"dagger","a dagger",49,324
"cerasium","Late Latin form of cerasium",12,323
"parrot","parrot",18,323
"gravelly","gravelly",14,323
"uganda","Uganda (a country in East Africa)",23,323
"molar","molar, back tooth, grinder tooth",16,323
"beaver","beaver",36,323
"dogwood","cornel, dogwood (tree and fruit)",39,323
"bream","a kind of bream",44,323
"impoverished","impoverished",8,323
"son-in-law","son-in-law",39,323
"first","apocopic form of πρῶτᾰ (prôtă, ""first; in the first place"")",71,323
"papyrine","relating to a writing reed",3,322
"flask","flask, cruse (for oil)",26,322
"sand smelt","sand smelt, any in the genus Atherina of small fishes",25,322
"crib","a crib (for infant)",43,322
"hyades","the Hyades",24,322
"elk","Medieval Latin form of alcēs and alcē (""elk; moose"")",12,321
"lycaon","Lycaon",44,321
"ignatius","a male given name, equivalent to English Ignatius",85,321
"dipping","a dipping",70,321
"idaho","Idaho",22,320
"serpentine","serpent-like; cunning",4,320
"bishopsweed","bishopsweed (Ammi majus)",31,320
"tebi","tebi- (2⁴⁰ = 1024⁴).",75,320
"titanated","Combined with titanium",63,320
"circe","Circe, a name, particularly the sorceress who appears in Homer's Odyssey.",118,320
"hemorrhoid","a hemorrhoid; a pile (vein liable to discharge blood)",5,319
"fatigue stone","A stone (thought to be quartz or spar) supposed to ease fatigue",36,319
"trojan","Ilian, Trojan",33,319
"alba silvius","The name of a mythical pre-Roman king, Alba Silvius",131,319
"flyswatter","flyswatter",3,318
"protium","protium",6,318
"brazil","Brazil (a large Portuguese-speaking country in South America)",35,318
"scarred","covered with scars, scarred",7,318
"strangled","strangled",9,318
"bel","Bel, a Babylonian deity.",38,318
"ruffling","ruffling",43,318
"hermes","Hermes",26,318
"rutted","Tracked, rutted.",35,317
"bridle","the bit and reins of a horse, bridle",74,317
"tartarus","Tartarus (hell, part of the underworld)",29,317
"curled octopus","curled octopus, a kind of octopus of the species Eledone cirrhosa",59,317
"suffix","an adjective-forming suffix",31,317
"crosspiece","crosspiece",45,317
"nod","a nod, nodding",107,317
"krka","a river in Dalmatia that flows into the Adriatic Sea, now the Krka",8,316
"daniel","Daniel (Biblical character)",46,316
"three-pronged","having three forks, prongs, or points",19,316
"interwoven","interwoven",9,316
"glittering","glittering, glistening",39,316
"trillium","trillium",11,315
"lappago-like plant","A plant similar to lappago",7,315
"varied","diversified, variegated, transformed etc.",19,315
"unbecoming","unbecoming, unseemly, indecorous",12,315
"british","alternative letter-case form of Britannicus (""British"")",12,315
"pear tree","pear tree (Pyrus communis)",25,315
"thousand","thousand; thousandfold.",55,315
"hoarfrost","rime, hoarfrost",76,315
"eucles","a male given name, equivalent to English Eucles",38,315
"sisyphus","Sisyphus",17,314
"edonian","one of the Edoni; an Edonian",39,314
"millet-related","of or pertaining to millet",12,314
"fathom","fathom",16,314
"snore","a snoring",50,314
"addition","addition, makeweight; gain",21,314
"diabolic","diabolic",9,314
"elis","Elis, Greece",56,314
"pursuing","unaugmented third-person singular imperfect active indicative of δῐ́ω (dĭ́ō) with movable nu",115,314
"andromeda","Andromeda",4,313
"packsaddle","packsaddle, bat, a saddle designed to secure and carry goods on the back of an animal",6,313
"said","said, uttered; mentioned, spoken, having been said.",84,313
"tress","lock or braid of hair, tress",51,313
"merinum","a town in Apulia, situated on the promontory of Garganus near Vieste",84,313
"medial","Of or belonging to the middle; medial.",28,312
"relaxation","relaxation",37,312
"without gold","without gold",16,312
"callisto","a female given name, equivalent to English Callisto",38,312
"herculean","of or pertaining to Hercules",31,312
"ligurian","A Ligurian, a native or inhabitant of Liguria.",44,312
"goddess","The goddess who protects the lying down of children",79,312
"thirty each","thirty each; thirty at a time",4,311
"charybdis","Charybdis",16,311
"equestrian","of or pertaining to an equestrian",10,311
"stonecutter","stonecutter",53,311
"corvine","corvine; of or pertaining to crows or ravens",6,311
"shaggy-leaved","used as a specific epithet in taxonomic names; Having dense, shaggy leaves; dasyphyllous.",5,311
"sergius","a cognomen used by the gens Sergia",77,311
"sindus","Sindus",73,311
"cupid",": Love, God of Love, Cupid",84,311
"slaughter","murder, slaughter, killing, violent death (as opposed to mors)",88,311
"wallet","wallet, scrip, leathern bag",12,310
"moisten","to wet, moisten, drench",5,310
"levana","Levana",27,310
"aunt","paternal aunt; father's sister",29,310
"tegea","Tegea, Arcadia, Greece",11,310
"syros","Syros, Cyclades, Greece",13,310
"abbot","an abbot",73,310
"red mullet","red mullet (Mullus barbatus)",31,310
"whence","whence?, of what country?, from what place?, of what people?, of which kin?",107,310
"stork","Praenestine form of cicōnia",48,309
"thicket","A thicket, a shrubbery",61,309
"finest wool","finest wool",56,309
"irish","Irish, of or pertaining to the Irish people.",3,308
"tegea","One of the most important towns of Arcadia",27,308
"lerna","Lerna",27,308
"adic","Having a specified adicity.",61,308
"saw up","to saw up, or to pieces",35,308
"capys","Capys, the mythological king of Dardania and father of Anchises",101,308
"hoe","hoe or shovel",18,307
"bent","curved, bent",27,307
"fibrous","fibrous",39,307
"istria","Istria",32,307
"terminus","the deity presiding over boundaries; a personification of the term terminus (""a boundary, a limit"")",92,307
"arrowhead","point of an arrow",34,307
"cape","a Spanish cloak",73,307
"barrel","A cask or barrel.",72,307
"langon","Langon, Achaea, Greece",115,307
"castellar","pertaining to a castle",97,307
"bitter vetch","The bitter vetch",2,306
"scarlet pimpernel","scarlet pimpernel (Anagallis arvensis)",15,306
"parsnip","parsnip",8,306
"pineapple","pineapple",75,306
"stammering","stammering, stuttering",40,306
"almond","an almond (kernel)",48,306
"algae","seaweed; plants that grow in freshwater",73,306
"bristly oxtongue","bristly oxtongue (Helminthotheca echioides)",6,305
"most glorious","most glorious, most honored",7,305
"salamander","salamander",6,305
"silkworm","The larva of the silkworm",13,305
"marsyas","Marsyas",24,305
"malt","malt",39,305
"aphrodite","Aphrodite",14,305
"billy-goat","billy-goat",27,305
"eresus","Eresus, Lesbos, Greece",44,305
"mushroom","Thracian name for a kind of mushroom",104,305
"clod","clod (lump of earth)",81,305
"lepanto","a town in Aetolia, also called Lepanto",7,304
"small spider","A small spider",11,304
"porcini mushroom","porcini mushroom (anciently, the most valued kind)",8,304
"half-black","half-black",4,304
"leonine","leonine; of or pertaining to a lion",9,304
"pelagic","pelagic (of the open sea)",3,304
"jupiter","Jupiter (god of the sky and ruler of the Roman pantheon)",25,304
"talaus","Talaus",61,304
"rural","of or pertaining to the countryside, rural, rustic",15,304
"doe-eyed","doe-eyed (having large, attractive eyes)",20,304
"tuff","tuff (kind of rock)",103,304
"yardland","The yardland or virgate, an English land measure usually comprising ¼ of a hide and notionally equal to 30 acres.",100,304
"hermione","Hermione",5,303
"bindweed","bindweed (or similar plant that bears a white flower)",13,303
"glaphyrae","Glaphyrae; Thessaly, Greece",7,303
"buskin","cothurnus, buskin",16,303
"clayey","of clay, argillaceous, clayey",16,303
"wreath","crown, garland, wreath",13,303
"western","western, occidental",33,303
"osiris","Osiris (the Egyptian god of the dead and of the underworld)",53,303
"southwest","southwest",49,303
"danish","Danish",33,302
"parchment","of parchment",48,302
"shrill","clear, whistling, shrill",20,302
"generation","generation",30,302
"laurence","a male given name, equivalent to English Laurence",3,301
"melilot","melilot, Melilotus sp.",9,301
"bryony","bryony (wild vine)",16,301
"entangled","entangled, entwined, having been entangled.",9,301
