term,gloss,forms,occurrences
"keos","Keos, one of the Cyclades situated in front of Sunium",1242,6015
"willow","willow",257,6003
"ribbed","ribbed",675,5967
"augusta","an honorific title given to the wives of Roman Emperors",1131,5956
"acrid","sharp, sour, bitter, pungent",620,5921
"husked","peeled, husked (of grain)",528,5912
"south wind","the south wind",1051,5906
"ochus","Ochus, also known as Artaxerxes III",540,5902
"ops","alternative letter-case form of Ops (""the goddess of earth's riches and fertility"")",686,5887
"ripening","ripening",27,5885
"earliest","earliest",946,5880
"alpine","of or pertaining to the Alps",7,5865
"flea","flea",687,5830
"haploid","Haploid: having a single set of unpaired chromosomes.",533,5823
"jesus","Jesus",1220,5819
"hair ornament","a gold ornament worn in the hair, especially in early Attica",442,5808
"fig tree","fig tree",330,5770
"participle","aorist active participle of ἀνίημι (aníēmi)",564,5770
"appearance","Combining form used in adjectives of appearance",854,5762
"bristly","rough, shaggy, bristly, prickly",7,5720
"n","The name of the letter N.",1366,5707
"gnat","gnat, midge; mosquito",94,5692
"einkorn","einkorn wheat, Triticum monococcum, used as fodder for horses",613,5688
"indeed","yea, verily",1763,5612
"yoke","the bent yoke of the plough",478,5611
"oscillating","Moving in two directions alternately, vibrating to and fro, fluctuating, wavering",260,5607
"october","Dius, the name of a Macedonian month corresponding to October",307,5607
"distress","grief, sorrow, distress, trouble",1058,5588
"gift","A donation, gift",984,5587
"skyros","An island of the Aegean Sea mentioned by Livy",687,5582
"gadfly","gadfly, horsefly",111,5562
"olive","an olive (fruit)",572,5504
"gee","The name of the letter G.",1183,5470
"mexican","Mexican; from or pertaining to Mexico",49,5424
"robe","a circular, white or purple formal robe with a border",516,5400
"pebble","pebble",674,5378
"serican","Serican, one of the Seres, the people from whom silk was obtained, the North Chinese as known to the ancient Greeks and Romans.",475,5371
"ops","The goddess Ops.",1039,5353
"redwing","kind of thrush, perhaps the redwing (Turdus iliacus)",653,5335
"punctuated","punctuated",8,5330
"iole","Iole",388,5329
"onyx","onyx (yellow marble)",525,5305
"garum","garum",1313,5303
"protuberance","round, swelling, bulging place; elevation, protuberance",908,5299
"unity","a unity, union",117,5265
"western","western, westerly",6,5261
"celestial body","a celestial body (star, planet or other visible celestial object)",266,5244
"female name","a female given name",436,5240
"pluto","Plūtō (god of the underworld)",1303,5233
"fishing net","fishing net",706,5211
"-bearing","-bearing",394,5199
"cornel","cornel (Cornus mas)",399,5148
"elias","Elias",384,5142
"cubit","distance from the elbow to the first joint of the fingers, used as a measure of length",825,5141
"scab","The scab or scald on the head",493,5138
"trope","a figurative use of a word, a trope (postAug. for trānslātiō, verbōrum immūtātiō)",570,5103
"roof","roof, ceiling",379,5095
"woodworm","A kind of woodworm",626,5079
"verdant","verdant",119,5077
"elecampane","Any of several plants of the genus Inula, including elecampane.",428,5054
"bleating","bleating, baaing",880,5049
"irregular","deviating from the general rule, irregular, anomalous, abnormal, exceptional",81,5035
"fetter","a bond or fetter",593,5028
"dirphys","The highest mountain of Euboea",869,5025
"tinder fungus","larch fungus, tinder fungus",32,4973
"oblique","Not straight: slanting, crosswise, oblique",478,4968
"forelock","forelock",842,4909
"reticulated","reticulated, net-like",7,4905
"lichen","a kind of lichen",105,4903
"childbirth","childbirth, parturition",881,4903
"syme","Syme (an island between Rhodes and Cnidus in Caria)",443,4879
"south wind","south wind",720,4825
"pertaining","Of or pertaining to.",878,4817
"hammerhead shark","hammerhead shark",22,4812
"shipway","trench or channel for hauling up and launching ships",353,4782
"tlos","A town of Lycia situated on a hill",444,4779
"forage","green fodder for cattle, forage, provender",220,4768
"dripping","dripping or flowing with",721,4762
"pure wine","pure wine, wine unmixed with water, neat wine",746,4755
"furrow","A furrow made by a plow.",471,4726
"proclaim","to call, announce solemnly, call out",435,4712
"gait","mode of walking or running, gait",333,4701
"sinew","a sinew, tendon, nerve, muscle",675,4683
"eve","Eve",522,4682
"sorrel","sorrel",590,4681
"census","census, a registering of the populace and their property",628,4671
"venus","Venus",338,4649
"somehow","In any way, at all, by any means",360,4624
"pious","pious, devout",955,4619
"furrowed","furrowed",10,4611
"lance-bearing","armed with a lance",7,4591
"bedstraw","bedstraw (Galium verum)",195,4575
"kettle","cauldron, kettle",34,4571
"very small","very small",606,4569
"aurochs","aurochs (Bos primigenius)",434,4569
"dinah","Dinah",566,4564
"coccus","any spherical microorganism",485,4551
"bestial","bestial, brutal, animal",742,4549
"hunchbacked","humpbacked, hunchbacked",522,4545
"sexi","An ancient city in Hispania Baetica, modern Spain, perhaps modern Salobreña.",525,4542
"tomis","A town of Lower Moesia situated on the coast of Black Sea and famous as the place where Ovid was banished",549,4539
"countryside","countryside, country, lands, fields",748,4538
"nonself","Nonself; nonself but of the same species.",804,4534
"axletree","An axletree of wagon, car, chariot.",476,4533
"acacia","An acacia tree (tribe Acacieae).",42,4483
"germanic tribe","A tribe of Germania mentioned by Tacitus",1215,4482
"woodworm","woodworm",428,4476
"caught","apprehended; taken",276,4465
"chaste tree","chaste tree (Vitex agnus-castus)",323,4460
"hard substance","A hard or thick substance.",640,4449
"water plantain","water plantain (Alisma plantago-aquatica)",710,4438
"trachis","Trachis",355,4435
"trigon","a Roman ball game involving three people standing in a triangle",475,4422
"wrestling","wrestling",353,4397
"galingale","galingale",53,4393
"christ","nomen sacrum form of Χριστῷ (Khristōî)",610,4387
"pleura","The pleura.",616,4385
"bluish","bluish",428,4370
"equipped","furnished, equipped, having been furnished.",64,4358
"maimed","maimed, mutilated, having been maimed by having limbs cut off.",239,4358
"bristly","having a mass of rough hairs",5,4356
"fallow-land","fallow-land",396,4355
"radon","radon",652,4329
"dark blue","dark blue",637,4315
"brazilian","Brazilian",19,4310
"spotted","spotted, speckled",405,4303
"ball-shaped mass","ball-shaped mass",249,4292
"having cilia","Having cilia",261,4277
"-phile","-phile",495,4270
"cloak","cloak, cape, robe, mantle",316,4270
"chian wine","Chian wine; renowned sweet wines from the Greek island of Chios in the Aegean Sea",763,4269
"insular","of or pertaining to an island, insular",73,4267
"thorax","chest, thorax",378,4257
"wagtail","a small bird, possibly the yellow wagtail.",329,4241
"blond","blond",39,4234
"thracian","Tragic and Epic form of Θρᾷξ (Thrāîx)",405,4224
"parma","a river in Cisalpine Gaul that flows near Parma, now the Taro",971,4221
"rotatory","Rotatory.",339,4212
"purple-fish","A shellfish used as a source of the dye Tyrian purple; the purple-fish",383,4161
"ravenous hunger","ravenous hunger",30,4158
"chinese","alternative letter-case form of Chī̆nēnsis",66,4147
"rose-colored","rose-colored",536,4139
"idaean","Idaean (of, from or pertaining to Mount Ida)",3883,4139
"thermodon","A river of Pontus situated east of the Hyssus",745,4116
"with thorns","With thorns",464,4105
"acanthus","A town of Chalcidice, colony of Andros",1305,4101
"blanching","blanching",244,4100
"minnow","small kind of fish",598,4091
"handsome","good-looking, handsome, beautiful",40,4080
"screech owl","a nocturnal bird, perhaps the screech owl",380,4068
"cush","Cush (the son of Ham, grandson of Noah, and supposed progenitor of the African peoples.)",437,4059
"rejoiced","exulted, rejoiced, having been exulted.",12,4047
"millet","Italian millet, foxtail millet (Setaria italica), panicgrass",13,4036
"otus","Otus, a giant in Greek mythology and brother of Ephialtes",316,4035
"sage","Greek sage (Salvia fruticosa)",44,4024
"eugenia","Eugenia",15,3995
"tending to","tending to",1866,3989
"heath","heath (Erica arborea)",159,3976
"peneus","the chief river of Thessaly, which rises in Mount Pindus and flows into the Gulf of Therma",533,3961
"northern","northern, north, northerly",779,3956
"vetch","bitter vetch (Vicia ervilia), and by extension other types of vetches (Vicia gen. et spp.)",562,3945
"arcade","arcade; covered passageway",1136,3925
"tremate","Having a trema (hole or aperture) or tremata of the type, position or number specified by the prefix.",407,3919
"seining","a method whereby fish are surrounded and captured",367,3906
"moderate","moderate, calm, restrained, mild",49,3896
"disgrace","disgrace, dishonor",385,3891
"american","American; of or pertaining to America (i.e. the Americas)",20,3886
"miltwaste","miltwaste (Asplenium ceterach)",9,3884
"eyelid","eyelid",457,3883
"testicle","testicle",167,3876
"celtici","A Celtic tribe of Gallaecia",533,3874
"sibae","A tribe of India mentioned by Pliny",685,3873
"pleasant","pleasant, charming",247,3871
"tylos","Tylos (old name for Bahrain)",336,3855
"terrible","terrible; horrible; fearful; astounding",1020,3832
"rhus","contracted form of ῥόος (rhóos)",452,3826
"golden","Made of gold, golden; gilded",154,3821
"belly","belly, bowels, paunch; excrement; flux, diarrhoea",601,3817
"depth","depth",351,3815
"levi","Levi",667,3813
"jar","large earthenware jar",535,3806
"went","unaugmented first-person singular/third-person plural aorist active indicative of βαίνω (baínō)",723,3805
"spindle","spindle",258,3803
"yew","A yew (tree).",285,3799
"californian","Californian",36,3795
"polypody","common polypody (Polypodium vulgare)",2,3791
"human being","human being",479,3785
"whey","whey, the watery part of milk",369,3768
"shovel","a shovel",660,3752
"chinese","Chinese",144,3745
"hypius","A river of Bithynia situated not far westward from the Sangarius",478,3726
"mace","mace; club shod with iron for fighting",326,3717
"old man","old man, older man (typically age 40 or older; older than a iuvenis)",827,3708
"wedge-shaped","Wedge, wedge-shaped.",178,3706
"burial","The act of carrying or bringing in; burying, interment, burial.",728,3706
"pearl","pearl",189,3700
"occipital bone","occipital bone",1585,3695
"iliad","The Iliad",741,3689
"carvable","fit for carving",404,3685
"indian","Indian; of or belonging to India.",541,3681
"apt","Tending to, or capable of.",164,3674
"com","The form of con- used before b, m, and p",638,3648
"thee","nomen sacrum form of Θεέ (Theé)",590,3643
"corioli","A very ancient city of Latium, taken by Coriolanus",552,3643
"diminutive","Noun-forming diminutive suffix.",388,3628
"sinus","Sinus.",816,3625
"callused","Relating to callused and swollen things.",319,3598
"peaceable","peacemaking, pacific, peaceable",85,3594
"diminutive","Suffix forming diminutive forms of nouns, ultimately an extended form of -ulus.",284,3591
"proto","Alternative letter-case form of proto- (""used for proper names of protolanguages and their associated people"").",670,3590
"muscular","Relating to muscle",446,3576
"brutal outrage","brutal outrage",444,3567
"ashen","ashen, like ashes",12,3566
"centaurea centaurium","Centaurea centaurium",3,3557
"domestic animal","domestic animal",394,3554
"phaedromus","a male given name, character in the play Curculio of Plautus",235,3539
"set aside","set aside",26,3536
"kythira","Kythira (an island of Greece in the south-east Ionian Sea at the opening to the Aegean Sea)",301,3536
"whitetop","whitetop (Lepidium draba)",55,3522
"chub","chub, chevin, pollard (European freshwater fish, Squalius cephalus)",461,3510
"beautiful","beautiful, pretty, handsome",281,3497
"nera","A river of Umbria and tributary of the Tiber, now the Nera.",732,3496
"barbel","barbel",388,3476
"persephone","Cora or Kore, Persephone",260,3475
"maggot","worm, maggot, larva of the fly",254,3471
"extraordinary","extraordinary",56,3465
"krypton","krypton (chemical element 36)",361,3462
"marine","Of or pertaining to the sea; marine, maritime.",59,3461
