term,occurrences,missing
"starch",139,"starch"
"diagonal",139,"diagonal"
"to smelt",139,"smelt"
"river slipway",139,"slipway"
"eparchy",138,"eparchy"
"-gon",138,"gon"
"trump",138,"trump"
"glove",137,"glove"
"evangelical",137,"evangelical"
"nauseousness",136,"nauseousness"
"unjust",136,"unjust"
"bastard",136,"bastard"
"abdominal",136,"abdominal"
"mihrab",136,"mihrab"
"unchangeable",135,"unchangeable"
"semicircular",135,"semicircular"
"russian banya",135,"russian banya"
"dumb",135,"dumb"
"skua",135,"skua"
"carriage",135,"carriage"
"hymn",135,"hymn"
"inquiry",134,"inquiry"
"bruise",134,"bruise"
"saudade",134,"saudade"
"ulcer",134,"ulcer"
"stirrup",133,"stirrup"
"foehn",133,"foehn"
"smith",133,"smith"
"goldsmith",132,"goldsmith"
"tuff",132,"tuff"
"soured buttermilk",132,"buttermilk"
"to brew",132,"brew"
"alert",132,"alert"
"zucchini",132,"zucchini"
"macrochaeta",131,"macrochaeta"
"razor",131,"razor"
"diamond",131,"diamond"
"resident",131,"resident"
"slap",131,"slap"
"capoeira",131,"capoeira"
"catholic priest",131,"catholic"
"patience",131,"patience"
"guarantor",130,"guarantor"
"manatee",130,"manatee"
"botanic",130,"botanic"
"mitre",130,"mitre"
"glen",130,"glen"
"to slander",129,"slander"
"planet",129,"planet"
"dauphin",129,"dauphin"
"colt",129,"colt"
"pulmonary",128,"pulmonary"
"g-sharp",128,"g"
"soccer",128,"soccer"
"chrysalis",127,"chrysalis"
"pariah",127,"pariah"
"puddle",127,"puddle"
"caiman",127,"caiman"
"myna",127,"myna"
"sapphirine",126,"sapphirine"
"to ail",126,"ail"
"bourgeois",126,"bourgeois"
"rectilinear",125,"rectilinear"
"chamois",125,"chamois"
"combo",125,"combo"
"marlin",125,"marlin"
"crumb",125,"crumb"
"emir",124,"emir"
"coupé",124,"coupé"
"cenote",124,"cenote"
"sixth",123,"sixth"
"chervil",123,"chervil"
"camomile",123,"camomile"
"kiln",123,"kiln"
"subdued",122,"subdued"
"liver",122,"liver"
"long-lived",122,"lived"
"yucca plant",122,"yucca"
"cigar",122,"cigar"
"elegy",121,"elegy"
"zinc",121,"zinc"
"kasha",121,"kasha"
"celebrity",121,"celebrity"
"tweed",121,"tweed"
"bulwark",121,"bulwark"
"albatross",120,"albatross"
"bio-",120,"bio"
"pampas grass",120,"pampas"
"yeshiva",120,"yeshiva"
"oxymel",119,"oxymel"
"protein",119,"protein"
"rejoicing",119,"rejoicing"
"brackish",119,"brackish"
"vine arbour",119,"arbour"
"yoga",118,"yoga"
"snore",118,"snore"
"interrupted",117,"interrupted"
"arrogant",117,"arrogant"
"palomino",117,"palomino"
"marabout",117,"marabout"
"sumac",117,"sumac"
"margin",117,"margin"
"unfinished",116,"unfinished"
"untrustworthy",116,"untrustworthy"
"sauna",116,"sauna"
"cunt",116,"cunt"
"grandma",116,"grandma"
"agouti",116,"agouti"
"seraph",115,"seraph"
"professional",115,"professional"
"courier",115,"courier"
"mortgage",115,"mortgage"
"soursop tree",115,"soursop"
"pyro-",115,"pyro"
"dormouse",114,"dormouse"
"prattle",114,"prattle"
"lawn",114,"lawn"
"massacre",114,"massacre"
"barber surgeon",114,"barber surgeon"
"finest wool",113,"finest"
"winter solstice",113,"solstice"
"daffodil",113,"daffodil"
"piccolo",113,"piccolo"
"theft",112,"theft"
"myrobalan fruit",112,"myrobalan"
"arbiter",112,"arbiter"
"low german",112,"german"
"rattlesnake",112,"rattlesnake"
"despotic",112,"despotic"
"caravanserai",112,"caravanserai"
"phantom",112,"phantom"
"halibut",112,"halibut"
"dairy",112,"dairy"
"concrete",112,"concrete"
"fez",112,"fez"
"to wrestle",111,"wrestle"
"nshima",111,"nshima"
