term,occurrences,tree
roman empire,10,"?roman + empire"
cithara player,10,"?cithara + player"
to gourmandise,9,"to + ?gourmandise"
atlantic ocean,9,"?atlantic + ocean"
vitreous humour,9,"?vitreous + hum + our"
collar harness,9,"collar + ?harness"
fraternal nephew,9,"?fraternal nephew"
diminutive noun,9,"?diminutive noun"
-saying,8,"?-saying"
servilius casca,8,"?servilius casca"
egadi islands,8,"?egadi + island"
pangaion hills,8,"?pangaion + hill"
running forth,8,"run + ?forth"
having loitered,8,"have + ?loitered"
olive-bearing,8,"?olive + bear"
having consoled,8,"have + ?consoled"
pre-eminence,7,"?pre-eminence"
like unguent,7,"like + ?unguent"
anglo-saxon,7,"?anglo-saxon"
koine greek,6,"?koine greek"
greek language,6,"?greek + language"
to adorn,6,"to + ?adorn"
at midday,6,"at + ?midday"
wild pigeon,6,"wild + ?pigeon"
anti-lebanon,6,"anti + ?lebanon"
eating companion,6,"eat + ?companion"
harbour-watcher,6,"?harbour + watch"
maternal aunt,6,"?maternal + aunt"
drinking companion,6,"drink + ?companion"
intricate knot,5,"?intricate + knot"
greenfodder,5,"?greenfodder"
tibet,5,"?tibet"
spavin,5,"?spavin"
prague,5,"?prague"
quokka,5,"?quokka"
phaedra,5,"?phaedra"
mount istone,5,"mount + ?istone"
ustica,5,"?ustica"
paean,5,"?paean"
cadmean,5,"?cadmean"
something heard,5,"some + thing + ?heard"
nasica,5,"?nasica"
gijón,5,"?gijón"
optical,5,"?optical"
abdominal cavity,5,"?abdominal + cavity"
nisibis,5,"?nisibis"
inexpressible,5,"?inexpressible"
psaltery,5,"?psaltery"
abductor,5,"?abductor"
gilgal,5,"?gilgal"
dung-eating,5,"?dung + eat"
carbine,5,"?carbine"
aesthetic,5,"?aesthetic"
transcribed,5,"?transcribed"
augury,5,"?augury"
vitriol,5,"?vitriol"
embassy,5,"?embassy"
rapist,5,"?rapist"
apologetic,5,"?apologetic"
most chastely,5,"most + ?chastely"
consolable,5,"?consolable"
enclitic,5,"?enclitic"
prolific,5,"?prolific"
glycerine,5,"?glycerine"
illegal,5,"?illegal"
persecutor,5,"?persecutor"
inseparable,5,"?inseparable"
opobalsam,5,"?opobalsam"
mountain-bred,5,"mountain + ?bred"
perplexing,5,"?perplexing"
forewarned,5,"?forewarned"
entrails,5,"?entrails"
protea-staining,5,"?protea + stain"
zygomatic,5,"?zygomatic"
abnet,5,"?abnet"
depositing,5,"?depositing"
simplicity,5,"?simplicity"
gold-embroidered,5,"gold + ?embroidered"
conspired,5,"?conspired"
crammed,5,"?crammed"
uncared-for,5,"?uncared + for"
foreboding,5,"?foreboding"
half-demolished,5,"half + ?demolished"
thirtieth,5,"?thirtieth"
aeronautic,5,"?aeronautic"
clytemnestra,5,"?clytemnestra"
thickening,5,"?thickening"
frankincense,5,"?frankincense"
imperceptible,5,"?imperceptible"
elliptic,4,"?elliptic"
fumatory,4,"?fumatory"
umpire,4,"?umpire"
to growl,4,"to + ?growl"
bregma,4,"?bregma"
lysine,4,"?lysine"
enchantment,4,"?enchantment"
animating,4,"?animating"
tuberculosis,4,"?tuberculosis"
butane,4,"?butane"
elephantiasis,4,"?elephantiasis"
unaware,4,"?unaware"
-metry,4,"?-metry"
chattered,4,"?chattered"
geographer,4,"?geographer"
betelgeuse,4,"?betelgeuse"
librarian,4,"?librarian"
ezra,4,"?ezra"
resonance,4,"?resonance"
uzziah,4,"?uzziah"
sewn up,4,"?sewn + up"
frolicking,4,"?frolicking"
eleventh,4,"?eleventh"
bringing forth,4,"bring + ?forth"
corinth,4,"?corinth"
cortical,4,"?cortical"
pterygoid,4,"?pterygoid"
mount parnassus,4,"mount + ?parnassus"
inflicted,4,"?inflicted"
asiarch,4,"?asiarch"
camomile,4,"?camomile"
canaanite,4,"?canaanite"
coequal,4,"?coequal"
rafters,4,"?rafters"
edessene,4,"?edessene"
maccabee,4,"?maccabee"
aorta,4,"?aorta"
meditrina,4,"?meditrina"
metropolis,4,"?metropolis"
pathological,4,"?pathological"
5-oared,4,"?5 + oar"
ruminating,4,"?ruminating"
solvable,4,"?solvable"
anatomy,4,"?anatomy"
emperor,4,"?emperor"
sounding twice,4,"sound + ?twice"
cineas,4,"?cineas"
dramatic,4,"?dramatic"
golgotha,4,"?golgotha"
unavoidable,4,"?unavoidable"
thousandth,4,"?thousandth"
palmyrene,4,"?palmyrene"
scepter-bearing,4,"?scepter + bear"
perishing,4,"?perishing"
gladiatorial,4,"?gladiatorial"
inhospitable,4,"?inhospitable"
unburied,4,"?unburied"
misanthropic,4,"?misanthropic"
bedstead,4,"?bedstead"
inanimate,4,"?inanimate"
dissoluble,4,"?dissoluble"
jonathan,4,"?jonathan"
publishing,4,"?publishing"
creme,3,"?creme"
sulphur,3,"?sulphur"
shimei,3,"?shimei"
devouring,3,"?devouring"
kneading trough,3,"?kneading trough"
quarryman,3,"?quarryman"
worthily,3,"?worthily"
ethmoid,3,"?ethmoid"
meno,3,"?meno"
to purify,3,"to + ?purify"
sciatica,3,"?sciatica"
sphodrias,3,"?sphodrias"
chlorella,3,"?chlorella"
entanglement,3,"?entanglement"
weimar,3,"?weimar"
spiritus asper,3,"?spiritus asper"
coracoid process,3,"?coracoid + process"
jehohash,3,"?jehohash"
arbor,3,"?arbor"
contrivance,3,"?contrivance"
public revenue,3,"public + ?revenue"
midwife,3,"?midwife"
quaffed,3,"?quaffed"
small morsel,3,"small + ?morsel"
serpent-footed,3,"?serpent + foot"
roof-shingle,3,"roof + ?shingle"
lantern-bearer,3,"?lantern + bear"
quadriga,3,"?quadriga"
cellular tissue,3,"?cellular + tissue"
rescinded,3,"?rescinded"
having lamented,3,"have + ?lamented"
metrete,3,"?metrete"
lyric poems,3,"lyre + ?poems"
steel,3,"?steel"
pastille,3,"?pastille"
perez,3,"?perez"
defered,3,"?defered"
deltidium [≤1836],3,"?deltidium [≤1836]"
stone quarries,3,"stone + ?quarries"
having deprecated,3,"have + ?deprecated"
misused,3,"?misused"
coleoidea,3,"?coleoidea"
widened,3,"?widened"
equinox,3,"?equinox"
gum ammoniac,3,"gum + ?ammoniac"
astronomical,3,"?astronomical"
female calcātor,3,"female + ?calcātor"
circumpolar,3,"?circumpolar"
communist,3,"?communist"
epileptic,3,"?epileptic"
excusable,3,"?excusable"
to exhort,3,"to + ?exhort"
gaugamela,3,"?gaugamela"
high-built,3,"high + ?built"
to ensnare,3,"to + ?ensnare"
indescribable,3,"?indescribable"
unlamented,3,"?unlamented"
unknowing,3,"?unknowing"
lernean,3,"?lernean"
mythological,3,"?mythological"
sewn on,3,"?sewn + on"
paragraph,3,"?paragraph"
paronym,3,"?paronym"
pervaded,3,"?pervaded"
retailer,3,"?retailer"
ferula persica,3,"?ferula persica"
satyriasis,3,"?satyriasis"
synchysis,3,"?synchysis"
synonym,3,"?synonym"
decanted,3,"?decanted"
thrice-born,3,"?thrice + born"
utnapishtim,3,"?utnapishtim"
unenvied,3,"?unenvied"
abolishing,3,"?abolishing"
acetabuliform,3,"?acetabuliform"
anticlea,3,"?anticlea"
complementary,3,"?complementary"
contemptible,3,"?contemptible"
decimated,3,"?decimated"
tongs,3,"?tongs"
to congratulate,3,"to + ?congratulate"
laboratory,3,"?laboratory"
to lament,3,"to + ?lament"
pickled,3,"?pickled"
having pursued,3,"have + ?pursued"
rabble,3,"?rabble"
fiftieth,3,"?fiftieth"
superficiary,3,"?superficiary"
