term,occurrences,forms
modena,97,16
britain,97,28
larino,97,23
christopher,96,15
bola,95,6
neocles,95,12
bianor,95,7
brindisi,95,10
lyon,94,12
zenobia,94,7
ashdod,94,19
polypoetes,93,1
tatiana,93,9
espoo,93,24
homole,93,19
berenice,92,4
apesas,92,21
gortyn,91,21
mountain range,91,18
alexis,91,28
camerino,90,5
cleonymus,90,12
sthenelaus,89,3
gabriel,89,6
offa,89,19
paphlagonian,89,6
pag,89,28
tivoli,89,23
antoing,89,42
douro,88,10
verona,88,26
charon,87,16
iceland,87,14
gozo,87,21
appius,87,24
donatus,86,19
mysia,86,14
sermyle,86,9
venosa,85,2
frances,85,11
messina,84,8
juvavum,84,15
isidore,84,9
hippomedon,83,1
samaria,83,15
benin,82,10
jordan,82,21
var,81,17
arthur,81,35
actaeon,80,19
spain,79,14
alexius,79,19
mede,79,26
oenone,78,1
pythonides,78,1
daniel,78,13
acheron,77,12
bessa,77,17
anaean,76,7
maeonian,76,6
norway,76,14
nîmes,76,9
alciphron,74,2
adolphus,74,12
scythian,74,16
martha,74,18
cleopas,73,7
dirphe,73,11
eriphyle,73,8
lleida,73,14
neapolitan,72,3
antigonus,72,8
capraia,72,5
emmaus,72,20
gargettus,71,7
arab,71,2
tortona,70,8
daedala,70,8
saul,70,17
ireland,70,28
trigno,69,1
galilee,69,7
menexenus,69,4
oileus,69,19
vouga,69,33
agri,68,20
deborah,68,15
assorus,67,1
marathus,67,4
laomedon,67,6
mozia,67,5
astyochus,67,7
cydnus,67,14
ilus,67,29
asychis,66,7
sipia,66,35
panegyris,65,2
valerian,65,8
surname,64,9
greece,64,18
zadar,63,22
macedonian,63,16
melanippe,62,2
anticles,62,5
polemon,62,8
acragas,62,7
somalia,62,17
isagoras,61,3
pangaeus,61,8
piacenza,61,11
mithras,61,16
tomarus,60,21
bubares,59,6
menippus,59,5
titan,59,21
zoara,59,23
william,58,11
methana,57,12
phraortes,56,1
male name,56,7
minnesota,56,9
cocytus,56,12
adana,56,21
xanthias,55,1
carmona,55,19
infernal,54,2
dallas,54,4
zürich,54,7
tagus,54,9
ladon,54,14
pallas,54,18
limburg,53,5
narona,53,7
antiphon,53,6
liberia,53,4
abila,53,12
gela,53,25
yemen,53,28
lysidice,52,2
anaxagoras,52,4
anatolian,52,7
myus,52,10
thespian,51,1
nicomachus,51,5
laodice,51,6
caserta,51,3
tmolus,51,5
christopher,51,7
ontario,51,6
dennis,51,8
naim,51,17
paxos,50,4
euboean,50,3
sybarite,50,6
calynda,50,5
agasias,50,16
parnassus,49,8
toledo,49,5
cyril,49,18
vietnam,49,15
krk,48,4
bursa,48,8
bagoas,48,13
parentium,48,5
autonoe,47,2
thrinacia,47,4
taranto,47,9
lysippus,47,8
budva,47,14
chaerephon,46,1
artace,46,5
sivas,46,15
indus,46,18
male name,46,15
iconium,45,6
eder,45,3
helenus,45,9
neto,45,3
socotra,45,3
tanais,45,24
mauritius,45,16
prexaspes,44,1
lipari,44,2
leipzig,44,12
anticrates,43,1
tortosa,43,8
thasos,43,13
bevagna,43,7
neophron,43,12
roman surname,43,7
roman name,43,18
colorado,43,31
gerlach,42,6
teleutias,42,5
krujë,42,18
chariton,42,21
tournai,41,4
auximum,41,3
actor,41,7
chalcidice,41,5
denmark,41,17
teres,41,13
iraq,41,22
laertes,40,12
xenocles,40,5
androcles,40,5
tinto,40,13
monaeses,39,1
ischia,39,6
alcinous,39,7
justin,39,9
daulis,39,18
ampsaga,39,19
derdas,38,10
brigantium,38,10
eumolpus,38,9
chiusi,38,14
theodora,37,4
eumaeus,37,7
malaga,37,6
hymettus,37,7
narni,36,2
belgium,36,4
nicholas,36,3
plutarch,36,4
dorotheus,36,6
nicander,36,7
breda,36,6
paphos,36,7
laodamas,36,4
thebes,36,15
zenodorus,35,2
idanthyrsus,35,2
niphates,35,4
tisamenus,35,4
caryanda,35,11
samos,35,8
agatha,35,9
italy,35,10
canada,35,17
gdańsk,35,13
lucera,34,3
durance,34,6
himalayas,34,9
pentelic,34,5
mona,33,3
achilles,33,7
lamprocles,32,2
idomene,32,3
amastris,32,3
thamyris,32,4
zeno,32,11
estonia,32,12
gerard,32,17
evagoras,31,1
ancaeus,31,18
poeas,30,2
patroclus,30,3
zeuxippe,30,2
tarsus,30,6
gerona,30,6
argaeus,30,7
bilbilis,30,6
linz,30,10
velletri,29,1
zeionises,29,1
artemidorus,29,2
melanippus,28,1
lycomedes,28,3
beata,28,7
zoltes,28,11
hainaut,28,8
wight,28,9
orte,28,10
lazi,28,12
elijah,28,7
flounce,28,15
pisidian,27,1
polyxo,27,1
maxentius,27,2
diomedes,27,2
amaryllis,27,10
lancaster,27,3
marcellus,27,7
sasima,27,5
hibera,27,7
theophilus,27,2
arcadius,27,6
abraham,26,2
parysatis,26,2
melantho,26,2
pirithous,26,3
cambridge,26,4
saurashtra,26,3
aydin,26,4
iphiclus,26,7
male name,26,11
origen,25,1
saepinum,25,1
sataspes,25,2
gennadius,25,4
sophocles,25,2
joanna,25,5
cynthus,25,9
cyprus,25,6
marche,25,7
samos,25,11
vladimir,25,14
uzentum,25,11
mero,25,15
arses,24,2
insular,24,4
meloria,24,5
gallienus,24,4
orchomenus,24,4
diophanes,24,3
thames,24,7
heraclean,24,3
marathon,24,7
cremona,24,7
thoas,24,5
acheronian,24,5
jacob,24,9
finland,24,12
spyridon,24,12
trevi,24,12
xanthus,24,9
gelves,24,18
anastasia,23,1
chios,23,2
cordoba,23,3
helicon,23,3
demophon,23,3
barza,23,7
ilesium,23,10
thais,23,6
vervins,23,12
orbelus,22,3
zagros,22,5
festus,22,5
isfahan,22,4
lothair,22,3
baetis,22,3
senator,22,5
iasian,22,9
lena,22,5
charilaus,22,7
fescennium,22,8
hybla,22,13
herod,22,12
carpathus,22,12
briton,21,1
polycrates,21,1
ethiopians,21,4
charicles,21,3
dindymon,21,5
nepal,21,4
selleis,21,8
adda,21,12
nardò,21,11
brasidas,20,1
iphicrates,20,1
aristides,20,3
achelous,20,2
avenio,20,3
quiet comedy,20,4
aegialea,20,3
çankırı,20,6
nicomedes,20,4
urfa,20,4
cicero,20,8
antalya,20,8
gelo,20,8
morocco,20,12
aetolian,19,1
matthew,19,3
ravenna,19,3
phaestum,19,4
sitalces,19,5
cos,19,7
soli,19,5
walter,19,6
xenophon,19,10
spello,18,1
phaeacia,18,2
otranto,18,2
sarsina,18,4
taiwan,18,6
philippa,18,4
szombathely,18,6
hypatia,18,5
elbe,18,5
alcmene,18,5
gylippus,18,5
belarus,18,4
aristarchus,18,5
sion,18,9
badres,18,9
giglio,18,9
fifty-one,17,1
protesilaus,17,1
martigny,17,2
melzo,17,3
loryma,17,4
roberta,17,2
eubulus,17,3
padua,17,5
diphilus,17,7
reuben,17,7
baldwin,17,5
