term,occurrences
onyx marble,31
scourge-bearing,31
licked,31
israelite,31
polynices,31
boron,31
prodigality,31
theognis,31
einsteinium,31
constantine,31
piety,31
observable,31
concubine,31
theophilus,31
sorcerer,31
-ful,30
dowry,30
sputum,30
lowest,30
conjoined twins,30
bachelor,30
tiresias,30
eaves,30
hydromancer,30
thesean,30
chrysothemis,30
imaginary,30
admitted,30
adrastus,30
frightened,30
septum,29
judas,29
clergy,29
teasel,29
domitius,29
small necklace,29
serrated-leaved,29
pylades,29
membraniferous,29
oxide,28
fallow deer,28
cheops,28
socrates,28
young tunny,28
opheltes,28
serpent handler,28
heptagonal,28
eightieth,28
often married,28
pettifogger,28
merlin,28
jaundice,28
descent,28
busiris,28
having avenged,27
persuasion,27
expedition,27
native cinnabar,27
mandaean,27
sowing,27
black horehound,27
clarity,27
mooring rope,27
heron,27
having remeasured,27
taproban,27
aeacus,27
supernumerary,27
addax,27
priapism,26
kitchen,26
marasmus,26
dike,26
uncut,26
fawning,26
division,26
thorium,26
hungarians,26
dried up,26
embezzler,26
untangled,26
instigator,26
aphrodisiac,26
isaeus,26
stench,26
bugler,25
refolded fabric,25
uncared for,25
requiring manure,25
morsimus,25
samothrace,25
water serpent,25
leucothea,25
brutalized,25
marpessa,25
greek hay,25
dermatitis,25
cecrops,25
somewhat curly,25
theonoe,25
hippopotamus,25
processional,25
-phile,24
tereus,24
cretan,24
galerius,24
invulnerable,24
pandion,24
lucretia,24
cloven-hooved,24
ischaemia,24
tightened,24
mithridates,24
polycrates,24
unteachable,24
jocasta,24
anacreon,24
poverty,24
hastened,24
plunderer,24
plucked,24
pindar,24
ino,23
agitation,23
aeneas,23
to hiccup,23
hera,23
baptism,23
stheno,23
euclid,23
phrynichus,23
goldsmith,23
summer solstice,23
sacrificial victim,23
ambrosial,23
grizzled,23
hippodamia,23
censorial,23
alluvial,23
lemnos,23
litharge,23
clio,22
necho,22
elytron,22
lycidas,22
tessera,22
cargo,22
worse,22
pisidia,22
to reunite,22
meton,22
little splinter,22
piston,22
phrixus,22
danae,22
cadmus,22
samson,22
astonished,22
themisto,22
geganius,22
thrice-cloven,22
susiana,22
ursa minor,22
made,22
resurrection,22
syllogism,22
pula,21
unceasing,21
carcinus,21
manna,21
cymbal,21
antimony,21
nereus,21
cicero,21
sheatfish,21
thoth,21
burgundian,21
crook-footed,21
asclepius,21
colocynth,21
luminescent,21
maniple,21
integral,21
propelled,21
asyndeton,21
pasturage,20
sulla,20
ostia,20
emir,20
portent,20
hemisphere,20
deformed,20
fauna,20
trachoma,20
paragoge,20
lebedus,20
mallow-leafed,20
portuguese,20
apelles,20
five twelfths,20
predecessor,20
heretical,20
spittle,20
preceded,20
acromion,20
guardian,20
diverted,20
samaria,20
fermentation,20
dorus,19
idaho,19
osmosis,19
archaeon,19
duumvir,19
anytus,19
anchises,19
phocion,19
codrus,19
cherry,19
quirinus,19
arcadia,19
phlegyas,19
eye-salve,19
oregon,19
morpheus,19
inhabited,19
drunkenness,19
eileithyia,19
brass,19
orderliness,19
sadyattes,19
stimulated,19
glorified,19
ishmael,19
arminius,19
praetorian,19
mykonos,19
monastery,19
udder,19
spectator,19
disgraceful,19
ecclesiastical,19
elongated,18
itys,18
lerna,18
sigeum,18
vistula,18
jericho,18
clodia,18
baal,18
climax,18
mouse-dropping,18
incitement,18
inwards,18
californium,18
armillary sphere,18
circular incision,18
soldered,18
samaritan,18
anglican,18
diuretic,18
orsilochus,18
perrhaebia,18
summed up,18
hysterical,18
missionary,18
princess,18
appian,18
pestilential,18
plundered,18
loss,18
beech marten,17
amoeba,17
glove,17
harpagus,17
neighborhood,17
bronze-footed,17
stoic,17
playmate,17
tithe,17
eretria,17
hipparchus,17
agrippina,17
rutherfordium,17
astyages,17
roaming everywhere,17
laodicea,17
eighth,17
curia,17
pylorus,17
peculiarly,16
cinnabar,16
ruffling,16
abijah,16
thuringian,16
clitellum,16
dropsy,16
clarus,16
triune,16
sacrificial,16
fiancée,16
topaz,16
